LinearAccel_X_err,LinearAccel_Y_err,LinearAccel_Z_err,AngularAccel_X_err,AngularAccel_Y_err,AngularAccel_Z_err
0.0033102036,0.032531977,0.05763817,0.068834305,0.08843219,0.12624109
0.01457572,0.025537968,0.037965775,0.07435894,0.19008446,0.07885218
0.023285568,0.011092424,0.044734,0.13282585,0.16312504,0.032393932
0.011233211,0.019985437,0.08605194,0.231143,0.28966236,0.00091934204
0.03316909,0.0021891594,0.11740112,0.24109173,0.29476476,0.3177495
0.019901931,0.021743774,0.14493942,0.25279903,0.1396145,0.06471154
0.027416825,0.04446745,0.14799976,0.4531269,0.1134835,0.04060927
0.032803833,0.048053503,0.13667202,0.63827515,0.33195877,0.070035696
0.036168218,0.030568361,0.10353756,0.4922428,0.47609353,0.10429859
0.029036522,0.018913269,0.042776108,0.27502632,0.4975034,0.15876997
0.0018932819,0.010097027,0.057667732,1.0502782,0.4061923,0.0022625923
0.050127625,0.07949734,0.04979515,0.15218592,0.48815727,0.2427392
0.02866602,0.08457422,0.04271221,0.1026032,0.30820757,0.09682682
0.014227271,0.067222595,0.011509895,0.15375376,0.23245448,0.2045725
0.010011315,0.041823864,0.029706001,0.012242794,0.12674773,0.25968215
0.002059698,0.04705715,0.0761137,0.23760366,0.4071741,0.31081295
0.01781869,0.01995945,0.05393505,0.11843395,0.14180577,0.18989587
0.01770866,0.046951175,0.047572136,0.21147442,0.06281757,0.096161425
0.009896278,0.044381022,0.042284966,0.07117176,0.17289066,0.04725802
0.010273695,0.039894104,0.032421112,0.14113903,0.18748093,0.08011246
0.010149002,0.025490105,0.03268051,0.12799549,0.13271809,0.11753988
0.0074985027,0.01613146,0.042708397,0.0765152,0.09152937,0.15275002
0.032343507,0.0014836192,0.076351166,0.4038,0.21791947,0.21595478
0.0023810863,0.03662932,0.05160904,0.2608614,0.06128335,0.005074024
0.004695773,0.045142114,0.040678978,0.019087315,0.025286555,0.02992782
0.010066628,0.054430902,0.026023865,0.0514884,0.030295998,0.12355324
0.015888453,0.052453756,0.021087646,0.078267574,0.03834857,0.1311869
0.02668941,0.013443768,0.05408573,0.19575882,0.109829664,0.063443184
0.032032967,0.008182824,0.075660706,0.12340832,0.030288948,0.21444666
0.019719362,0.016699791,0.07530117,0.15741634,0.11520815,0.07398914
0.024886489,0.024762154,0.06976414,0.061618805,0.01998806,0.009917051
0.026398063,0.024960518,0.073262215,0.03391552,0.11613846,0.024598122
0.021980166,0.029220939,0.048799515,0.054606616,0.18159458,0.042070866
0.015102148,0.03096807,0.03128147,0.008667469,0.17451572,0.09984273
0.013789296,0.0029063225,0.030314445,0.13809085,0.0004146099,0.03368497
0.008900523,0.023457646,0.043237686,0.09825826,0.05992961,0.25505543
0.0063761473,0.022294283,0.051976204,0.01829338,0.16669858,0.114786625
